,Университет,Академия архитектуры и искусств,Академия биологии и биотехнологии,Академия психологии и педагогики,Академия физической культуры и спорта,Инженерно-технологическая академия,Институт высоких технологий и пьезотехники,Институт компьютерных технологий и информационной безопасности,Институт нанотехнологий"," электроники и приборостроения,Институт радиотехнических систем и управления,Институт управления в экономических"," экологических и социальных системах,Высшая школа бизнеса,Институт истории и международных отношений,Институт математики"," механики и компьютерных наук им. И.И. Воровича,Институт наук о Земле,Институт социологии и регионоведения,Институт филологии"," журналистики и межкультурной коммуникации,Институт философии и социально-политических наук,Факультет управления,Факультет физический,Факультет химический,Факультет экономический,Факультет юридический,Лицей,Колледж прикладного профессионального образования,Филиал ЮФУ в г. Новошахтинске
,ЮФУ,Академ Архит. (ААИ),БиоФак (АББ),ПсихФак (АПП),ФизКультФак (АФКС),ИТА,ФВТ (ИВТП),ИКТИБ,ИНЭП,ИРТСУ,ИУЭС,ВШБ,ИстФак (ИИМО),МехМат (ИММиКН),ГеоФак (ИНЗ),ИСиР,ФилФак (ИФЖиМКК),ИФСПН,Фак-тет упр.,ФизФак,ХимФак,ЭкномФак,ЮрФак,Лицей,Колледж,Новошахтинск
Основная,sfedu_official,aapxu,club763504,club386000,academsport.sfedu,,sfedu_fvt,ictis_sfedu,inep_sfedu,irtsu_sfedu,iusees_sfedu,hsb.sfedu,sfedu_history,mmcs.official,ogbarannikova,isirsfedu,philologysfedu,ipsps_sfedu,sfedufup,fizfaksfu,,sfedu.econom,urfak.sfedu,club162420341,,nshf_sfu
ПрофКом,studprof.sfedu,club115790120,,,,club132819801,studprofkom_ivtipt,,,,,profkomhsb,profsoyziimo,mmcs_profkom,,,profiffj,studprofcomffk,,studprofff,,club38488618,profoffice_lawfaculty,,,
СИЦ,sfedu_sic,,,,academsportsfedu,sic_sfedu_ita,,,,,,information_hsb,public89520513,public142132054,,sic_isir,,,,,chemistrysic,sic_econom,club109529363,,,
Культура и Творчество,sfedu_kultura,cultureaai,,,,studclub_tgn,fvt_active,,,,,,istorikisfedy,mmcs_creativity,,,,,,,,econ.sfedu,,,,
Спорт,ssc_sfedu,,,,,club101308251,,,,,,,club68959879,mexmat_sport,,ssc_isir,,,,,,,,,,
СтудСовет,oso.sfedu,studaktivaai,,,,ss_eta,,,,,,,sic_iimo,mmcs_council,,,club69326394,because_ifispn,,studsovetphysfac,studsovet_chemistry,sfedu.econ,,,sfedu_lol,
Подслушано,overhearsfedu,,,,public156038241,,,,,,,,,mmcs_sfedu,,,,,,,,,,,,
Научное Сообщество,,club114777260,,,,sno_ita_sfu,,,,,,,,mmcs_teachingcouncil,,,,philos_culture,,,,,lawsfedu,,,
Волонтёрство,sfedu_volunteer,club109609244,,,,volonter_eta,,,club128819074,,,,vol.iimosfedu,,,,club81593809,volunteerifispn,,,,vol_v_ritme,volonterufo,,,
Центр Карьеры,sfeducareer,,,,,,,,,,,,,,,,,,,,,,,,,
SFEDUMEDIA,sfedumedia,,,,,,,,,,,,,,,,,,,,,,,,,
Цитаты преподавателей,sfeduquotes,,,,,,,,,,,,,,,,,,,,,,,,,
ИнтерКлуб,interclubsfu,,,,,,,,,,,,,,,,,,,,,,,,,
УВЦ,uvc.sfedu,,,,,,,,,,,,,,,,,,,,,,,,,
"Турклуб ""Ковчег""",tk_kovcheg,,,,,,,,,,,,,,,,,,,,,,,,,
Ботанический сад,bg.sfedu_official,,,,,,,,,,,,,,,,,,,,,,,,,
КиберСпорт,esports_sfedu,,,,,,,,,,,,,,,,,,,,,,,,,
Детская ХудШкола,izocenter_sfedu,,,,,,,,,,,,,,,,,,,,,,,,,
Лига КВН,club15341149,,,,,,,,,,,,,,,,,,,,,,,,,
Штаб СтудОтрядов,rsosfu,,,,,,,,,,,,,,,,,,,,,,,,,
MMDANCE,mmdance,,,,,,,,,,,,,,,,,,,,,,,,,
UNI TRAVEL,rd_unitravel,,,,,,,,,,,,,,,,,,,,,,,,,
Преактум,,,,,,preactum.sfedu,,,,,,,,,,,,,,,,,,,,
Клуб интеллектуальных игр,,,,,,intellect_ita_sfedu,,,,,,,,,,,,,,,,,,,,
Команда Enactus,,,,,,enactus.sfedu,,,,,,,,,,,,,,,,,,,,
Математическая школа,,,,,,,,,,,,,,mmcs_math,,,,,,,,,,,,
